player_id,Player_Name,Matches_Played,Kills,Deaths,Assists,Damage_Dealt,Headshots,Wins,Top_10s,Revives,Distance_Traveled,Weapons_Used,Time_Survived,Rank
P99,StormStrider,257,654,147,92,15645,201,34,118,54,62891,11,26587,Diamond
P100,StormBreaker,213,577,126,93,14123,204,28,99,50,59674,10,24687,Platinum
P101,SapphireSword,238,621,145,102,15346,219,33,111,55,61598,11,25647,Platinum
P102,ShadowReign,241,662,168,117,16092,232,35,119,59,62987,12,26679,Diamond
P103,DragonSlayer,229,619,141,97,14894,213,31,105,52,60982,11,25567,Platinum
P104,SilverShadow,218,589,132,89,14389,207,30,100,50,59976,10,25046,Platinum
P105,EagleEye,226,604,155,100,15234,216,32,110,56,61875,11,26135,Platinum
P106,BlazingStorm,193,518,109,71,12876,193,25,87,43,55589,10,23259,Gold
P107,MidnightSage,247,681,173,119,16098,224,36,120,58,62974,11,26678,Diamond
P108,RapidBlaze,202,537,122,82,13367,189,28,93,47,57894,9,24256,Platinum
P109,FrostFire,211,548,117,79,13687,197,30,100,49,58976,10,25068,Gold
P110,ScarletWitch,254,679,152,98,15678,214,35,115,56,62893,11,26578,Platinum
P111,RagingTiger,288,731,188,124,16679,230,37,128,61,66678,12,28056,Diamond
P112,SpectralRogue,245,642,148,96,15432,218,34,115,57,61784,11,25967,Platinum
P113,BlazingRaptor,296,786,192,131,17845,246,40,138,66,68876,13,29245,Diamond
P114,EternalShadow,209,579,135,88,14267,203,29,101,51,59987,10,25046,Platinum
P115,WickedStrider,232,619,154,100,14976,213,32,110,53,61587,11,25789,Diamond
P116,FrostFire,191,501,114,73,12678,184,26,88,44,56489,10,23746,Gold
P117,CrimsonStorm,226,638,159,105,15694,223,34,117,57,61987,11,26345,Platinum
P118,RuthlessReaper,198,512,103,68,12987,186,24,84,42,54278,10,22678,Gold
P119,VenomousViper,246,674,163,107,16056,219,35,120,58,62894,11,26746,Platinum
P120,FrostFury,216,553,129,81,13587,191,29,99,49,59987,10,25056,Platinum
P121,ShadowBlade,267,702,178,116,16687,227,36,125,62,65789,12,27546,Diamond
P122,RapidPhantom,285,729,185,127,17568,238,38,130,65,67689,13,28456,Diamond
P123,ViperStrike,202,533,110,72,13157,189,28,96,47,55478,10,23156,Platinum
P124,EternalBlaze,226,622,140,96,14986,215,33,109,54,61187,11,25789,Platinum
P125,Vengeance,213,568,124,95,13967,201,28,101,52,59487,10,24567,Platinum
P126,LunarShadow,239,621,144,98,15234,219,34,112,56,61694,11,25568,Platinum
P127,Deathstrike,242,662,167,112,15987,231,35,119,60,62876,12,26658,Diamond
P128,AzureBlade,227,612,138,92,14789,210,31,107,54,60589,11,25257,Platinum
P129,RavenHeart,219,583,130,87,14256,203,29,98,50,59876,10,24868,Platinum
P130,SerpentFury,223,594,152,102,15378,220,32,109,55,61879,11,25946,Platinum
P131,CrimsonRogue,195,519,107,69,12789,191,26,86,44,55894,10,23256,Gold
P132,VoidSeeker,248,671,171,114,15978,225,36,120,59,62987,12,26689,Diamond
P133,AstralSword,203,536,123,83,13247,194,28,92,48,57856,10,24157,Platinum
P134,FrozenFlame,212,543,116,78,13678,196,30,100,49,59278,10,24967,Gold
P135,TwilightWarden,253,661,150,97,15589,212,34,116,56,61975,11,25678,Platinum
P136,ShadowPhoenix,287,723,185,128,16689,229,37,127,61,66698,12,27956,Diamond
P137,PhantomStrider,286,732,183,130,17345,234,38,130,65,67587,13,28367,Diamond
P138,VengefulViper,203,534,112,75,13078,188,29,95,48,56298,10,23689,Gold
P139,EternalFire,213,578,131,88,14257,202,30,102,53,59987,10,25079,Platinum
P140,NebulaBlade,238,632,154,100,15378,214,34,115,57,61187,11,25876,Platinum
P141,SilverHawk,194,526,106,68,12987,193,27,87,43,55698,10,23456,Gold
P142,SolarSword,248,662,167,114,15867,226,35,120,59,62378,11,26389,Diamond
P143,EclipseShadow,205,547,124,84,13589,197,29,98,50,58987,10,24657,Platinum
P144,StarBlade,214,562,119,80,13876,200,30,100,51,59968,10,25057,Gold
P145,LethalWraith,252,667,153,99,15678,213,33,114,58,61789,11,25978,Platinum
P146,RadiantBlaze,288,727,183,129,16878,230,37,126,62,66789,12,27856,Diamond
P147,FrostGuardian,283,724,182,128,17256,236,37,128,64,67578,13,28246,Diamond
P148,MysticSerpent,207,539,111,76,13278,190,29,95,48,56478,10,23879,Gold
P149,InfernoStorm,211,548,121,82,13789,198,30,99,50,57876,10,24467,Platinum
P150,Vengeance,213,568,124,95,13967,201,28,101,52,59487,10,24567,Platinum
P151,LunarShadow,239,621,144,98,15234,219,34,112,56,61694,11,25568,Platinum
P152,Deathstrike,242,662,167,112,15987,231,35,119,60,62876,12,26658,Diamond
P153,AzureBlade,227,612,138,92,14789,210,31,107,54,60589,11,25257,Platinum
P154,RavenHeart,219,583,130,87,14256,203,29,98,50,59876,10,24868,Platinum
P155,SerpentFury,223,594,152,102,15378,220,32,109,55,61879,11,25946,Platinum
P156,CrimsonRogue,195,519,107,69,12789,191,26,86,44,55894,10,23256,Gold
P157,VoidSeeker,248,671,171,114,15978,225,36,120,59,62987,12,26689,Diamond
P158,AstralSword,203,536,123,83,13247,194,28,92,48,57856,10,24157,Platinum
P159,FrozenFlame,212,543,116,78,13678,196,30,100,49,59278,10,24967,Gold
P160,TwilightWarden,253,661,150,97,15589,212,34,116,56,61975,11,25678,Platinum
P161,ShadowPhoenix,287,723,185,128,16689,229,37,127,61,66698,12,27956,Diamond
P162,PhantomStrider,286,732,183,130,17345,234,38,130,65,67587,13,28367,Diamond
P163,VengefulViper,203,534,112,75,13078,188,29,95,48,56298,10,23689,Gold
P164,EternalFire,213,578,131,88,14257,202,30,102,53,59987,10,25079,Platinum
P165,NebulaBlade,238,632,154,100,15378,214,34,115,57,61187,11,25876,Platinum
P166,SilverHawk,194,526,106,68,12987,193,27,87,43,55698,10,23456,Gold
P167,SolarSword,248,662,167,114,15867,226,35,120,59,62378,11,26389,Diamond
P168,EclipseShadow,205,547,124,84,13589,197,29,98,50,58987,10,24657,Platinum
P169,StarBlade,214,562,119,80,13876,200,30,100,51,59968,10,25057,Gold
P170,LethalWraith,252,667,153,99,15678,213,33,114,58,61789,11,25978,Platinum
P171,RadiantBlaze,288,727,183,129,16878,230,37,126,62,66789,12,27856,Diamond
P172,FrostGuardian,283,724,182,128,17256,236,37,128,64,67578,13,28246,Diamond
P173,MysticSerpent,207,539,111,76,13278,190,29,95,48,56478,10,23879,Gold
P174,InfernoStorm,211,548,121,82,13789,198,30,99,50,57876,10,24467,Platinum
P175,Vengeance,213,568,124,95,13967,201,28,101,52,59487,10,24567,Platinum
P176,LunarShadow,239,621,144,98,15234,219,34,112,56,61694,11,25568,Platinum
P177,Deathstrike,242,662,167,112,15987,231,35,119,60,62876,12,26658,Diamond
P178,AzureBlade,227,612,138,92,14789,210,31,107,54,60589,11,25257,Platinum
P179,RavenHeart,219,583,130,87,14256,203,29,98,50,59876,10,24868,Platinum
P180,SerpentFury,223,594,152,102,15378,220,32,109,55,61879,11,25946,Platinum
P181,CrimsonRogue,195,519,107,69,12789,191,26,86,44,55894,10,23256,Gold
P182,VoidSeeker,248,671,171,114,15978,225,36,120,59,62987,12,26689,Diamond
P183,AstralSword,203,536,123,83,13247,194,28,92,48,57856,10,24157,Platinum
P184,FrozenFlame,212,543,116,78,13678,196,30,100,49,59278,10,24967,Gold
P185,TwilightWarden,253,661,150,97,15589,212,34,116,56,61975,11,25678,Platinum
P186,ShadowPhoenix,287,723,185,128,16689,229,37,127,61,66698,12,27956,Diamond
P187,PhantomStrider,286,732,183,130,17345,234,38,130,65,67587,13,28367,Diamond
P188,VengefulViper,203,534,112,75,13078,188,29,95,48,56298,10,23689,Gold
P189,EternalFire,213,578,131,88,14257,202,30,102,53,59987,10,25079,Platinum
P190,NebulaBlade,238,632,154,100,15378,214,34,115,57,61187,11,25876,Platinum
P191,SilverHawk,194,526,106,68,12987,193,27,87,43,55698,10,23456,Gold
P192,SolarSword,248,662,167,114,15867,226,35,120,59,62378,11,26389,Diamond
P193,EclipseShadow,205,547,124,84,13589,197,29,98,50,58987,10,24657,Platinum
P194,StarBlade,214,562,119,80,13876,200,30,100,51,59968,10,25057,Gold
P195,LethalWraith,252,667,153,99,15678,213,33,114,58,61789,11,25978,Platinum
P196,RadiantBlaze,288,727,183,129,16878,230,37,126,62,66789,12,27856,Diamond
P197,FrostGuardian,283,724,182,128,17256,236,37,128,64,67578,13,28246,Diamond
P198,MysticSerpent,207,539,111,76,13278,190,29,95,48,56478,10,23879,Gold
P199,InfernoStorm,211,548,121,82,13789,198,30,99,50,57876,10,24467,Platinum
P200,BlazeRanger,225,603,139,93,14678,207,31,106,52,60967,11,25479,Platinum
P201,RagingFire,239,625,142,97,15123,218,33,110,55,61976,11,25578,Platinum
P202,ShadowDancer,242,662,165,110,15789,225,35,118,59,62867,12,26589,Diamond
P203,PhoenixWings,226,617,136,89,14456,201,30,105,53,60487,11,25267,Platinum
P204,IceStorm,218,589,127,83,13987,205,29,98,50,59967,10,24878,Platinum
P205,MoonlitSorcerer,221,598,150,99,15087,213,32,108,54,61489,11,25979,Platinum
P206,DarkReaper,197,511,104,68,12689,190,26,85,43,55576,10,23467,Gold
P207,CosmicGhost,239,655,170,112,15567,221,34,115,56,62367,11,26078,Platinum
P208,StormRider,206,542,124,81,13345,194,29,97,49,58678,10,24789,Platinum
P209,FlareRogue,215,561,118,79,13678,197,30,100,50,59789,10,25168,Gold
P210,RadiantBlade,263,692,174,116,16456,226,35,120,58,63345,12,26789,Diamond
P211,TempestPhantom,295,728,184,126,17134,238,38,130,65,67234,13,28067,Diamond
P212,SapphireViper,210,549,113,74,13489,189,29,96,48,56789,10,24067,Gold
P213,EternalFlame,223,591,130,85,14234,199,30,103,52,60178,11,25356,Platinum
P214,StarlightBlade,248,652,157,103,15578,217,33,110,54,61287,11,25778,Platinum
P215,LunarShadow,267,697,173,120,16245,231,36,125,62,64876,12,27456,Diamond
P216,CrimsonRider,294,743,187,132,17567,242,39,133,67,66987,13,28345,Diamond
P217,BlazingSorcerer,203,521,109,72,13123,193,27,91,45,55487,10,23267,Gold
P218,FrozenFlare,206,553,117,76,13756,196,29,96,49,58789,10,24579,Platinum
P219,AbyssGuardian,220,597,144,98,14967,212,32,108,54,60978,11,25679,Platinum
P220,SpectralPhantom,225,624,149,100,15345,219,33,110,55,61789,11,25967,Platinum
